STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-29,18.8,"H,,S",,,14,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-04-30,16.1,"H,,S",23.8,",,S",14,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-01,16.1,"H,,S",,,13.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-02,18.4,"H,,S",,,14.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-03,21.1,"H,,S",,,16,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-04,18.8,"H,,S",26.5,",,S",17,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-05,18.9,"H,,S",21,",,S",18,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-06,16.9,"H,,S",20.2,",,S",,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-07,15.5,"H,,S",19.3,",,S",13.8,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-08,16.9,"H,,S",,,14.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-09,17.6,"H,,S",,,15.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-10,16.7,"H,,S",19.6,",,S",,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-11,15.1,"H,,S",,,10.8,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-12,16.4,"H,,S",,,11.6,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-13,17.8,"H,,S",,,13.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-14,13.5,"H,,S",23.2,",,S",,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-15,16.2,"H,,S",,,12.2,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-16,17.7,"H,,S",,,14.3,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-17,19.1,"H,,S",21.9,",,S",16.2,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-18,19.6,"H,,S",,,17,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-19,15.8,"H,,S",23.5,",,S",13.3,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-20,15.2,"H,,S",,,13.3,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-21,14.9,"H,,S",17.2,",,S",12.7,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-22,13.4,"H,,S",,,10.4,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-23,13.1,"H,,S",,,9.6,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-24,13.9,"H,,S",,,8.8,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-25,14.2,"H,,S",20.2,",,S",10.3,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-26,15.4,"H,,S",18.4,",,S",12.8,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-27,15.7,"H,,S",,,,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-28,14.6,"H,,S",19,",,S",11.6,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-29,12.2,"H,,S",16.8,",,S",9.3,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-30,12.4,"H,,S",,,10.5,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-05-31,13.2,"H,,S",,,11.3,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-01,15.2,"H,,S",,,11.7,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-02,15.4,"H,,S",,,,
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-03,15.5,"H,,S",20,",,S",12.4,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-04,15.4,"H,,S",20.5,",,S",13.4,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-05,15.8,"H,,S",18.5,",,S",13.3,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-06,16.7,"H,,S",,,14,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-07,15.9,"H,,S",19.4,",,S",13.1,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-08,13.9,"H,,S",,,9.8,",,S"
ARM00087582,"AEROPARQUE JORGE NEWBERY, AR",-34.559,-58.416,5.5,2019-06-09,13.9,"H,,S",19.8,",,S",9.3,",,S"
