STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-04-30,17,"H,,S",23.3,",,S",13,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-01,15.9,"H,,S",,,11.3,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-02,17.1,"H,,S",,,13.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-03,16.5,"H,,S",,,8.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-04,18.4,"H,,S",27.4,",,S",11.4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-05,19.5,"H,,S",,,11.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-06,19.7,"H,,S",27.2,",,S",14.8,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-07,18.1,"H,,S",24.8,",,S",15.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-08,17.9,"H,,S",,,15.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-09,17.1,"H,,S",,,11.7,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-10,15.3,"H,,S",23.4,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-11,12.3,"H,,S",16.6,",,S",9.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-12,11.4,"H,,S",,,2.5,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-13,12.8,"H,,S",,,4,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-14,13.8,"H,,S",23.6,",,S",7.6,",,S"
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-15,14,"H,,S",21.2,",,S",,
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246,2019-05-16,11.4,"H,,S",19.9,",,S",7.3,",,S"
