STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-04-30,19.2,"H,,S",25.5,",,S",15.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-01,19.4,"H,,S",,,14.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-02,20.7,"H,,S",,,14.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-03,25.1,"H,,S",,,19,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-04,25.6,"H,,S",,,23.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-05,24.3,"H,,S",29.3,",,S",22.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-06,24.4,"H,,S",28.2,",,S",21.6,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-07,23.7,"H,,S",27.8,",,S",21.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-08,22.1,"H,,S",27.1,",,S",19.8,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-09,21.8,"H,,S",25.2,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-10,21.7,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-11,18,"H,,S",22.5,",,S",15.2,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-12,15.2,"H,,S",21.7,",,S",13.5,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-13,16.6,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-14,16,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-15,16.6,"H,,S",,,12,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-16,18.7,"H,,S",,,13.3,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-17,20.7,"H,,S",26,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-18,22.3,"H,,S",,,,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-19,20.5,"H,,S",27.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-20,21.1,"H,,S",,,19.1,",,S"
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-21,19.8,"H,,S",24.5,",,S",,
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9,2019-05-22,16.8,"H,,S",22,",,S",5.2,",,S"
